pKa,Particle size (mm),Acid concentration (M),Cu in feed (%),Temperature (°C),Leaching time (min),Pulp density (g/L),Agitation speed (rpm),% Cu Recovery
-3.0,0.1065,30.0,13.832,22.0,180.0,40.0,590.0,86.25
-3.0,0.1065,5.0,15.716666666666665,22.0,119.99999999999999,26.666666666666664,210.0,56.65
-3.0,0.1065,10.0,20.220000000000002,22.0,119.99999999999999,40.0,1020.0,73.04
-3.0,0.1065,15.0,13.832,22.0,119.99999999999999,40.0,590.0,86.02
-3.0,0.1065,20.0,9.059999999999999,22.0,119.99999999999999,40.0,293.33333333333337,95.02
-3.0,0.1065,25.0,14.663333333333332,22.0,180.0,40.0,360.0,97.05
-3.0,0.1065,30.0,14.663333333333332,22.0,180.0,40.0,360.0,97.54
-3.0,0.1065,5.0,22.006666666666664,22.0,119.99999999999999,26.666666666666664,210.0,51.01
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,40.0,1020.0,67.85
-3.0,0.1065,15.0,18.44333333333333,22.0,119.99999999999999,40.0,1020.0,79.58
